arm,seed,task,cond,value
plastisitesiz,9,T1,N2_s0.1,0.5
plastisitesiz,9,T1,N2_s0.3,1.0
plastisitesiz,9,T1,N2_s0.6,0.9166666666666666
plastisitesiz,9,T1,N4_s0.1,0.25
plastisitesiz,9,T1,N4_s0.3,0.75
plastisitesiz,9,T1,N4_s0.6,0.5
plastisitesiz,9,T1,N8_s0.1,0.4583333333333333
plastisitesiz,9,T1,N8_s0.3,0.5
plastisitesiz,9,T1,N8_s0.6,0.5416666666666666
plastisitesiz,9,T1,N16_s0.1,0.4895833333333333
plastisitesiz,9,T1,N16_s0.3,0.4583333333333333
plastisitesiz,9,T1,N16_s0.6,0.46875
plastisitesiz,9,T2,d0.1,0.25
plastisitesiz,9,T2,d0.3,0.625
plastisitesiz,9,T2,d0.5,0.5416666666666666
plastisitesiz,9,T3,ntr1,0.25
plastisitesiz,9,T3,ntr2,0.25
plastisitesiz,9,T3,ntr3,0.25
plastisitesiz,9,T3,ntr5,0.25
plastisitesiz,9,T3,ntr8,0.25
plastisitesiz,9,T3,ntr12,0.25
plastisitesiz,9,T3,ntr20,0.25
plastisitesiz,9,T4,nA4_after,0.5
plastisitesiz,9,T4,nA4_B,0.4375
plastisitesiz,9,T4,nA8_after,0.625
plastisitesiz,9,T4,nA8_B,0.4375
plastisitesiz,9,T4,nA16_after,0.4583333333333333
plastisitesiz,9,T4,nA16_B,0.5
plastisitesiz,9,T4,nA32_after,0.3697916666666667
plastisitesiz,9,T4,nA32_B,0.5208333333333334
plastisitesiz,9,T4,nA64_after,0.4661458333333333
plastisitesiz,9,T4,nA64_B,0.5
plastisitesiz,9,T5,cos0.9,0.6666666666666666
plastisitesiz,9,T5,cos0.7,0.5
plastisitesiz,9,T5,cos0.5,0.4583333333333333
plastisitesiz,9,T6a,A+B+AB-,0.3333333333333333
plastisitesiz,9,T6b,once,0.0
plastisitesiz,9,T6b,sonra,1.0
