arm,seed,task,cond,value
MB_KCMBON_shuffle,17,T1,N2_s0.1,1.0
MB_KCMBON_shuffle,17,T1,N2_s0.3,1.0
MB_KCMBON_shuffle,17,T1,N2_s0.6,1.0
MB_KCMBON_shuffle,17,T1,N4_s0.1,1.0
MB_KCMBON_shuffle,17,T1,N4_s0.3,1.0
MB_KCMBON_shuffle,17,T1,N4_s0.6,0.875
MB_KCMBON_shuffle,17,T1,N8_s0.1,1.0
MB_KCMBON_shuffle,17,T1,N8_s0.3,1.0
MB_KCMBON_shuffle,17,T1,N8_s0.6,0.8541666666666666
MB_KCMBON_shuffle,17,T1,N16_s0.1,0.8854166666666666
MB_KCMBON_shuffle,17,T1,N16_s0.3,0.9895833333333334
MB_KCMBON_shuffle,17,T1,N16_s0.6,0.8854166666666666
MB_KCMBON_shuffle,17,T2,d0.1,1.0
MB_KCMBON_shuffle,17,T2,d0.3,1.0
MB_KCMBON_shuffle,17,T2,d0.5,0.75
MB_KCMBON_shuffle,17,T3,ntr1,1.0
MB_KCMBON_shuffle,17,T3,ntr2,1.0
MB_KCMBON_shuffle,17,T3,ntr3,1.0
MB_KCMBON_shuffle,17,T3,ntr5,1.0
MB_KCMBON_shuffle,17,T3,ntr8,1.0
MB_KCMBON_shuffle,17,T3,ntr12,1.0
MB_KCMBON_shuffle,17,T3,ntr20,1.0
MB_KCMBON_shuffle,17,T4,nA4_after,1.0
MB_KCMBON_shuffle,17,T4,nA4_B,1.0
MB_KCMBON_shuffle,17,T4,nA8_after,1.0
MB_KCMBON_shuffle,17,T4,nA8_B,1.0
MB_KCMBON_shuffle,17,T4,nA16_after,0.96875
MB_KCMBON_shuffle,17,T4,nA16_B,0.9791666666666666
MB_KCMBON_shuffle,17,T4,nA32_after,0.8333333333333334
MB_KCMBON_shuffle,17,T4,nA32_B,0.8125
MB_KCMBON_shuffle,17,T4,nA64_after,0.5625
MB_KCMBON_shuffle,17,T4,nA64_B,0.6666666666666666
MB_KCMBON_shuffle,17,T5,cos0.9,1.0
MB_KCMBON_shuffle,17,T5,cos0.7,0.75
MB_KCMBON_shuffle,17,T5,cos0.5,0.9166666666666666
MB_KCMBON_shuffle,17,T6a,A+B+AB-,0.6666666666666666
MB_KCMBON_shuffle,17,T6b,once,1.0
MB_KCMBON_shuffle,17,T6b,sonra,0.5
