arm,seed,task,k,H,acc,val,lam,n_classes,reachable,chance,sat,activity,active_frac,participation_ratio,target,tol
B_dengeli,0,T1,2,0,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
B_dengeli,0,T1,2,10,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
B_dengeli,0,T1,2,20,1.0,1.0,1e-05,5.0,3.0,0.3333333333333333,,,,,,
B_dengeli,0,T1,2,40,1.0,1.0,1e-05,5.0,3.0,0.3333333333333333,,,,,,
B_dengeli,0,T1,4,0,0.5,0.475,1e-06,9.0,5.0,0.2,,,,,,
B_dengeli,0,T1,4,10,0.49166666666666664,0.5333333333333333,1e-06,9.0,5.0,0.2,,,,,,
B_dengeli,0,T1,4,20,0.45,0.4666666666666667,0.0001,9.0,5.0,0.2,,,,,,
B_dengeli,0,T1,4,40,0.375,0.4,1e-06,9.0,5.0,0.2,,,,,,
B_dengeli,0,T1,6,0,0.39166666666666666,0.3333333333333333,1e-06,13.0,7.0,0.14285714285714285,,,,,,
B_dengeli,0,T1,6,10,0.38333333333333336,0.3416666666666667,0.0001,13.0,7.0,0.14285714285714285,,,,,,
B_dengeli,0,T1,6,20,0.4,0.3416666666666667,1e-05,13.0,7.0,0.14285714285714285,,,,,,
B_dengeli,0,T1,6,40,0.30833333333333335,0.325,1e-06,13.0,7.0,0.14285714285714285,,,,,,
B_dengeli,0,T1,8,0,0.23333333333333334,0.30833333333333335,0.0001,17.0,9.0,0.1111111111111111,,,,,,
B_dengeli,0,T1,8,10,0.24166666666666667,0.31666666666666665,1e-05,17.0,9.0,0.1111111111111111,,,,,,
B_dengeli,0,T1,8,20,0.24166666666666667,0.31666666666666665,1e-05,17.0,9.0,0.1111111111111111,,,,,,
B_dengeli,0,T1,8,40,0.25,0.275,1e-05,17.0,9.0,0.1111111111111111,,,,,,
B_dengeli,0,T1,10,0,0.275,0.3,1e-06,21.0,9.0,0.1111111111111111,,,,,,
B_dengeli,0,diag,10,0,,,,,,,0.0,0.002432914403463965,0.01783166904422254,1.0000724533854184,,
B_dengeli,0,T1,10,10,0.25,0.26666666666666666,1e-05,21.0,9.0,0.1111111111111111,,,,,,
B_dengeli,0,T1,10,20,0.25,0.275,1e-05,21.0,9.0,0.1111111111111111,,,,,,
B_dengeli,0,T1,10,40,0.23333333333333334,0.275,1e-06,21.0,9.0,0.1111111111111111,,,,,,
B_dengeli,0,T3,9,0,0.0,0.2744721689059501,0.0001,,,,,,,,7.0,0.0
B_dengeli,0,T3,10,0,0.0,0.2744721689059501,0.0001,,,,,,,,8.0,0.0
B_dengeli,0,T3,9,0,0.0,0.2744721689059501,0.0001,,,,,,,,9.0,0.0
B_dengeli,0,T3,10,0,0.0,0.2744721689059501,0.0001,,,,,,,,10.0,0.0
B_dengeli,0,T3_x0,10,0,0.0,0.2744721689059501,0.0001,,,,,,,,8.0,0.0
