arm,seed,task,k,H,acc,val,lam,n_classes,reachable,chance,sat,activity,active_frac,participation_ratio,target,tol
B_dengeli,7,T1,2,0,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
B_dengeli,7,T1,2,10,1.0,1.0,1e-05,5.0,3.0,0.3333333333333333,,,,,,
B_dengeli,7,T1,2,20,1.0,1.0,1e-05,5.0,3.0,0.3333333333333333,,,,,,
B_dengeli,7,T1,2,40,1.0,1.0,1e-05,5.0,3.0,0.3333333333333333,,,,,,
B_dengeli,7,T1,4,0,0.5083333333333333,0.5166666666666667,1e-05,9.0,5.0,0.2,,,,,,
B_dengeli,7,T1,4,10,0.5083333333333333,0.5083333333333333,0.0001,9.0,5.0,0.2,,,,,,
B_dengeli,7,T1,4,20,0.5,0.49166666666666664,0.0001,9.0,5.0,0.2,,,,,,
B_dengeli,7,T1,4,40,0.425,0.44166666666666665,1e-06,9.0,5.0,0.2,,,,,,
B_dengeli,7,T1,6,0,0.3416666666666667,0.35,1e-06,13.0,7.0,0.14285714285714285,,,,,,
B_dengeli,7,T1,6,10,0.325,0.35,1e-06,13.0,7.0,0.14285714285714285,,,,,,
B_dengeli,7,T1,6,20,0.25,0.35833333333333334,1e-06,13.0,7.0,0.14285714285714285,,,,,,
B_dengeli,7,T1,6,40,0.2916666666666667,0.3416666666666667,1e-06,13.0,7.0,0.14285714285714285,,,,,,
B_dengeli,7,T1,8,0,0.25,0.23333333333333334,1e-06,17.0,9.0,0.1111111111111111,,,,,,
B_dengeli,7,T1,8,10,0.25,0.21666666666666667,1e-06,17.0,9.0,0.1111111111111111,,,,,,
B_dengeli,7,T1,8,20,0.25,0.21666666666666667,0.0001,17.0,9.0,0.1111111111111111,,,,,,
B_dengeli,7,T1,8,40,0.24166666666666667,0.25,1e-06,17.0,9.0,0.1111111111111111,,,,,,
B_dengeli,7,T1,10,0,0.3333333333333333,0.2833333333333333,0.01,21.0,9.0,0.1111111111111111,,,,,,
B_dengeli,7,diag,10,0,,,,,,,0.0,0.0024388979179447074,0.01783166904422254,1.0000244861635743,,
B_dengeli,7,T1,10,10,0.3333333333333333,0.2833333333333333,1.0,21.0,9.0,0.1111111111111111,,,,,,
B_dengeli,7,T1,10,20,0.23333333333333334,0.24166666666666667,1.0,21.0,9.0,0.1111111111111111,,,,,,
B_dengeli,7,T1,10,40,0.225,0.25,0.001,21.0,9.0,0.1111111111111111,,,,,,
B_dengeli,7,T3,9,0,0.0,0.2757281553398058,0.0001,,,,,,,,7.0,0.0
B_dengeli,7,T3,10,0,0.0,0.2757281553398058,0.0001,,,,,,,,8.0,0.0
B_dengeli,7,T3,9,0,0.0,0.2757281553398058,0.0001,,,,,,,,9.0,0.0
B_dengeli,7,T3,10,0,0.0,0.2757281553398058,0.0001,,,,,,,,10.0,0.0
B_dengeli,7,T3_x0,10,0,0.0,0.2757281553398058,0.0001,,,,,,,,8.0,0.0
