arm,seed,task,k,H,acc,val,lam,n_classes,reachable,chance,sat,activity,active_frac,participation_ratio,target,tol
A_gercek,23,T1,2.0,0.0,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_gercek,23,T1,2.0,10.0,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_gercek,23,T1,2.0,20.0,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_gercek,23,T1,2.0,40.0,1.0,1.0,1e-05,5.0,3.0,0.3333333333333333,,,,,,
A_gercek,23,T1,4.0,0.0,0.5666666666666667,0.4083333333333333,1e-06,9.0,5.0,0.2,,,,,,
A_gercek,23,T1,4.0,10.0,0.5916666666666667,0.5583333333333333,0.0001,9.0,5.0,0.2,,,,,,
A_gercek,23,T1,4.0,20.0,0.575,0.5416666666666666,1e-05,9.0,5.0,0.2,,,,,,
A_gercek,23,T1,4.0,40.0,0.43333333333333335,0.3416666666666667,1e-06,9.0,5.0,0.2,,,,,,
A_gercek,23,T1,6.0,0.0,0.4583333333333333,0.2916666666666667,1e-06,13.0,7.0,0.14285714285714285,,,,,,
A_gercek,23,T1,6.0,10.0,0.39166666666666666,0.44166666666666665,1e-06,13.0,7.0,0.14285714285714285,,,,,,
A_gercek,23,T1,6.0,20.0,0.375,0.30833333333333335,1e-05,13.0,7.0,0.14285714285714285,,,,,,
A_gercek,23,T1,6.0,40.0,0.36666666666666664,0.25833333333333336,0.1,13.0,7.0,0.14285714285714285,,,,,,
A_gercek,23,T1,8.0,0.0,0.275,0.25833333333333336,0.0001,17.0,9.0,0.1111111111111111,,,,,,
A_gercek,23,T1,8.0,10.0,0.325,0.30833333333333335,1e-06,17.0,9.0,0.1111111111111111,,,,,,
A_gercek,23,T1,8.0,20.0,0.26666666666666666,0.25,0.001,17.0,9.0,0.1111111111111111,,,,,,
A_gercek,23,T1,8.0,40.0,0.30833333333333335,0.25833333333333336,1e-06,17.0,9.0,0.1111111111111111,,,,,,
A_gercek,23,T1,10.0,0.0,0.2833333333333333,0.26666666666666666,0.01,21.0,9.0,0.1111111111111111,,,,,,
A_gercek,23,diag,10.0,0.0,,,,,,,0.0,0.003211307081506035,0.023607176581680833,1.0024790613009245,,
A_gercek,23,T1,10.0,10.0,0.2833333333333333,0.25833333333333336,1e-06,21.0,9.0,0.1111111111111111,,,,,,
A_gercek,23,T1,10.0,20.0,0.275,0.26666666666666666,1e-06,21.0,9.0,0.1111111111111111,,,,,,
A_gercek,23,T1,10.0,40.0,0.2833333333333333,0.26666666666666666,0.1,21.0,9.0,0.1111111111111111,,,,,,
